date,maturityDate,coupon,Term,price,yield,yearsToMaturity
24/07/2024,01/12/2055,0.0275,30y,87.11958,3.423003,31.289618
24/07/2024,01/06/2034,0.03,10y,96.71642,3.394497,9.833333
24/07/2024,01/06/2031,0.015,7y,88.91384,3.321407,6.838798
24/07/2024,01/03/2029,0.04,5y,102.94411,3.305019,4.592896
24/07/2024,01/09/2026,0.01,3y,94.86473,3.551976,2.1010928
24/07/2024,01/08/2026,0.04,2y,100.706604,3.634404,2.0163934
23/07/2024,01/12/2055,0.0275,30y,87.6597,3.39217,31.292349
23/07/2024,01/06/2034,0.03,10y,96.76773,3.388122,9.836065
23/07/2024,01/06/2031,0.015,7y,88.83253,3.334988,6.84153
23/07/2024,01/03/2029,0.04,5y,102.82576,3.332821,4.5956283
23/07/2024,01/09/2026,0.01,3y,94.72333,3.621295,2.103825
23/07/2024,01/08/2026,0.04,2y,100.57167,3.704362,2.0191257
22/07/2024,01/12/2055,0.0275,30y,87.511604,3.400557,31.295082
22/07/2024,01/06/2034,0.03,10y,96.5781,3.411275,9.838798
22/07/2024,01/06/2031,0.015,7y,88.665405,3.363657,6.844262
22/07/2024,01/03/2029,0.04,5y,102.68225,3.366474,4.5983605
22/07/2024,01/09/2026,0.01,3y,94.637146,3.662182,2.1065574
22/07/2024,01/08/2026,0.04,2y,100.49915,3.742094,2.021858
19/07/2024,01/12/2055,0.0275,30y,87.94017,3.376149,31.303278
19/07/2024,01/06/2034,0.03,10y,96.72141,3.393436,9.846994
19/07/2024,01/06/2031,0.015,7y,88.74856,3.346948,6.852459
19/07/2024,01/03/2029,0.04,5y,102.733635,3.355547,4.6065574
19/07/2024,01/09/2026,0.01,3y,94.67062,3.634835,2.1147542
19/07/2024,01/08/2026,0.04,2y,100.54326,3.720495,2.0300546
18/07/2024,01/12/2055,0.0275,30y,88.56748,3.340819,31.306011
18/07/2024,01/06/2034,0.03,10y,96.92597,3.368343,9.849727
18/07/2024,01/06/2031,0.015,7y,88.856125,3.327394,6.855191
18/07/2024,01/03/2029,0.04,5y,102.81242,3.337637,4.6092896
18/07/2024,01/09/2026,0.01,3y,94.69639,3.618311,2.1174862
18/07/2024,01/08/2026,0.04,2y,100.59287,3.69546,2.0327868
17/07/2024,01/12/2055,0.0275,30y,89.0144,3.315844,31.308743
17/07/2024,01/06/2034,0.03,10y,97.132545,3.343077,9.852459
17/07/2024,01/06/2031,0.015,7y,88.98972,3.303329,6.8579235
17/07/2024,01/03/2029,0.04,5y,102.91604,3.314029,4.612022
17/07/2024,01/09/2026,0.01,3y,94.714485,3.605739,2.1202185
17/07/2024,01/05/2026,0.04,2y,100.36224,3.786214,1.784153
16/07/2024,01/12/2055,0.0275,30y,88.63222,3.337136,31.311476
16/07/2024,01/06/2034,0.03,10y,97.03995,3.354278,9.855191
16/07/2024,01/06/2031,0.015,7y,88.963005,3.307321,6.860656
16/07/2024,01/03/2029,0.04,5y,102.89739,3.318692,4.614754
16/07/2024,01/09/2026,0.01,3y,94.72825,3.595411,2.1229508
16/07/2024,01/05/2026,0.04,2y,100.386826,3.772277,1.7868853
15/07/2024,01/12/2055,0.0275,30y,87.60336,3.395108,31.314207
15/07/2024,01/06/2034,0.03,10y,96.56151,3.412652,9.8579235
15/07/2024,01/06/2031,0.015,7y,88.69227,3.354035,6.863388
15/07/2024,01/03/2029,0.04,5y,102.70155,3.364303,4.6174865
15/07/2024,01/09/2026,0.01,3y,94.671165,3.621154,2.125683
15/07/2024,01/05/2026,0.04,2y,100.344536,3.797117,1.7896175
12/07/2024,01/12/2055,0.0275,30y,88.2008,3.361226,31.322405
12/07/2024,01/06/2034,0.03,10y,96.652794,3.4012,9.86612
12/07/2024,01/06/2031,0.015,7y,88.66859,3.356093,6.871585
12/07/2024,01/03/2029,0.04,5y,102.68833,3.368345,4.6256833
12/07/2024,01/09/2026,0.01,3y,94.62226,3.63599,2.1338797
12/07/2024,01/05/2026,0.04,2y,100.30956,3.818222,1.7978141
11/07/2024,01/12/2055,0.0275,30y,87.87965,3.379317,31.325136
11/07/2024,01/06/2034,0.03,10y,96.44383,3.426693,9.868853
11/07/2024,01/06/2031,0.015,7y,88.4652,3.391061,6.8743167
11/07/2024,01/03/2029,0.04,5y,102.53344,3.404467,4.628415
11/07/2024,01/09/2026,0.01,3y,94.52936,3.67976,2.136612
11/07/2024,01/05/2026,0.04,2y,100.2477,3.854166,1.8005464
10/07/2024,01/12/2055,0.0275,30y,87.54841,3.398068,31.32787
10/07/2024,01/06/2034,0.03,10y,96.101944,3.468581,9.871585
10/07/2024,01/06/2031,0.015,7y,88.16183,3.443701,6.877049
10/07/2024,01/03/2029,0.04,5y,102.28985,3.461164,4.6311474
10/07/2024,01/09/2026,0.01,3y,94.38773,3.748196,2.1393442
10/07/2024,01/05/2026,0.04,2y,100.132965,3.920533,1.8032787
09/07/2024,01/12/2055,0.0275,30y,87.23212,3.416058,31.3306
09/07/2024,01/06/2034,0.03,10y,95.94682,3.487577,9.874317
09/07/2024,01/06/2031,0.015,7y,88.08494,3.45652,6.8797812
09/07/2024,01/03/2029,0.04,5y,102.2377,3.473528,4.6338797
09/07/2024,01/09/2026,0.01,3y,94.363365,3.757085,2.1420765
09/07/2024,01/05/2026,0.04,2y,100.11935,3.928509,1.806011
08/07/2024,01/12/2055,0.0275,30y,87.56987,3.396783,31.333334
08/07/2024,01/06/2034,0.03,10y,96.126076,3.465402,9.877049
08/07/2024,01/06/2031,0.015,7y,88.17564,3.439812,6.8825135
08/07/2024,01/03/2029,0.04,5y,102.29109,3.461432,4.636612
08/07/2024,01/09/2026,0.01,3y,94.34625,3.762275,2.1448088
08/07/2024,01/05/2026,0.04,2y,100.10962,3.934226,1.8087431
05/07/2024,01/12/2055,0.0275,30y,86.99114,3.42971,31.34153
05/07/2024,01/06/2034,0.03,10y,95.86905,3.496717,9.885246
05/07/2024,01/06/2031,0.015,7y,88.000534,3.468454,6.8907104
05/07/2024,01/03/2029,0.04,5y,102.18745,3.48624,4.644809
05/07/2024,01/09/2026,0.01,3y,94.318634,3.76581,2.1530056
05/07/2024,01/05/2026,0.04,2y,100.09976,3.940205,1.81694
04/07/2024,01/12/2055,0.0275,30y,85.77817,3.499846,31.344263
04/07/2024,01/06/2034,0.03,10y,95.03333,3.600105,9.887979
04/07/2024,01/06/2031,0.015,7y,87.33984,3.584585,6.8934426
04/07/2024,01/03/2029,0.04,5y,101.68178,3.603828,4.647541
04/07/2024,01/09/2026,0.01,3y,94.08599,3.879827,2.1557376
04/07/2024,01/05/2026,0.04,2y,99.919754,4.043427,1.8196721
03/07/2024,01/12/2055,0.0275,30y,86.32816,3.467831,31.346994
03/07/2024,01/06/2034,0.03,10y,95.31298,3.565228,9.890711
03/07/2024,01/06/2031,0.015,7y,87.52381,3.551177,6.896175
03/07/2024,01/03/2029,0.04,5y,101.8315,3.569241,4.6502733
03/07/2024,01/09/2026,0.01,3y,94.10362,3.867312,2.15847
03/07/2024,01/05/2026,0.04,2y,99.94695,4.027811,1.8224044
02/07/2024,01/12/2055,0.0275,30y,85.6954,3.504607,31.349728
02/07/2024,01/06/2034,0.03,10y,94.95523,3.609556,9.893442
02/07/2024,01/06/2031,0.015,7y,87.31203,3.587964,6.898907
02/07/2024,01/03/2029,0.04,5y,101.687225,3.602967,4.6530056
02/07/2024,01/09/2026,0.01,3y,94.0418,3.894921,2.1612022
02/07/2024,01/05/2026,0.04,2y,99.90813,4.049991,1.8251365
